eevdf-vs-cfs
Kernel 6.6 vs 6.5, looking for potential difference in CPU scheduler performance (CFS 6.5 vs EEVDF 6.6)

 ,,"6.5-CFS-Hackbench","6.6-EEVDF-Hackbench","6.5-CFS-7zip","6.6-EEVDF-7zip","6.5-CFS-Nginx","6.5-CFS-CRay","6.6-EEVDF-Nginx","6.6-EEVDF-CRay","6.5-CFS-Redis","6.6-EEVDF-Redis","6.5-CFS-FFMPEG","6.6-EEVDF-FFMPEG"
Processor,,AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads),AMD Ryzen 7 4800H @ 2.90GHz (8 Cores / 16 Threads)
Motherboard,,LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS),LENOVO LNVNB161216 (FSCN18WW BIOS)
Chipset,,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne,AMD Renoir/Cezanne
Memory,,16GB,16GB,16GB,16GB,16GB,16GB,16GB,16GB,16GB,16GB,16GB,16GB
Disk,,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B,1024GB SK hynix HFS001TD9TNI-L2A0B
Graphics,,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile,NVIDIA GeForce RTX 2060 Mobile
Audio,,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio,NVIDIA TU106 HD Audio
Network,,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200,Realtek RTL8111/8168/8211/8411 + Intel Wi-Fi 6 AX200
OS,,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux,Arch Linux
